"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Server Unit Tests POST /api/colors creates a new color and returns 201 with correct body","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests POST /api/colors creates a new color and returns 201 with correct body",""
"","5","Server Unit Tests Middleware returns 400 for malformed JSON body","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests Middleware returns 400 for malformed JSON body",""
"","42","should create a new color with valid schema","Chrome","Mon Mar 30 15:41:34 UTC 2026","passed","Mon Mar 30 15:41:34 UTC 2026","Backend API Integration > POST /api/colors Schema Validation","tests/api.spec.ts","",""
"","5","Server Unit Tests 405 Method Not Allowed returns 405 for PATCH on /api/colors/:name","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests 405 Method Not Allowed returns 405 for PATCH on /api/colors/:name",""
"","12","Server Unit Tests GET /api/colors does not expose _id or __v fields","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests GET /api/colors does not expose _id or __v fields",""
"","40","should delete an existing color","Chrome","Mon Mar 30 15:41:12 UTC 2026","passed","Mon Mar 30 15:41:12 UTC 2026","Backend API Integration > DELETE /api/colors/:name","tests/api.spec.ts","",""
"","7","Server Unit Tests POST /api/colors returns 409 for a duplicate color name with descriptive error","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests POST /api/colors returns 409 for a duplicate color name with descriptive error",""
"","5","Frontend Unit Tests App Component initial state and currentColor precise check","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component initial state and currentColor precise check",""
"","3473","GET /api/colors/{name}","","","passed","","","schemathesis","",""
"","6","Server Unit Tests Surviving Mutants & Edge Cases Allowed Methods kills mutants in allowedMethods object","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests Surviving Mutants & Edge Cases Allowed Methods kills mutants in allowedMethods object",""
"","869","changing color to Yellow should reflect in UI and DOM","Chrome","Mon Mar 30 15:40:52 UTC 2026","passed","Mon Mar 30 15:40:53 UTC 2026","Data-Driven Testing","tests/data-driven.spec.ts","",""
"","4","Server Unit Tests Surviving Mutants & Edge Cases OpenAPI Content-Type has application/json content-type","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests Surviving Mutants & Edge Cases OpenAPI Content-Type has application/json content-type",""
"","1010","homepage should match snapshot","Chrome","Mon Mar 30 15:41:55 UTC 2026","passed","Mon Mar 30 15:41:56 UTC 2026","Visual Regression","","",""
"","","[HIGH] CVE-2026-27903","","","failed","","","Node.js","minimatch-10.0.3",""
"","17","should reject omitting both name and hex on update","Chrome","Mon Mar 30 15:41:11 UTC 2026","passed","Mon Mar 30 15:41:11 UTC 2026","Backend API Integration > PUT /api/colors/:name Schema Validation","tests/api.spec.ts","",""
"","5","Server Unit Tests POST /api/colors returns 400 for name with only spaces","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests POST /api/colors returns 400 for name with only spaces",""
"","6","Server Unit Tests Error Handling DELETE /api/colors/:name returns 500 when database fails","","Mon Mar 30 15:38:02 UTC 2026","passed","Mon Mar 30 15:38:02 UTC 2026","","Server Unit Tests","Server Unit Tests Error Handling DELETE /api/colors/:name returns 500 when database fails",""
"","554","should load the application and verify core functionality across browsers","Chrome","Mon Mar 30 15:41:15 UTC 2026","passed","Mon Mar 30 15:41:15 UTC 2026","Cross-Browser Core Functionality","","",""
"","29","GET /api/colors","","","skipped","","","schemathesis","",""
